,state,guessed
0,Alabama,False
1,Arizona,False
2,Arkansas,False
3,Colorado,False
4,Connecticut,False
5,Delaware,False
6,Georgia,False
7,Hawaii,False
8,Idaho,False
9,Illinois,False
10,Indiana,False
11,Iowa,False
12,Kansas,False
13,Kentucky,False
14,Louisiana,False
15,Maine,False
16,Maryland,False
17,Massachusetts,False
18,Michigan,False
19,Minnesota,False
20,Mississippi,False
21,Missouri,False
22,Montana,False
23,Nebraska,False
24,Nevada,False
25,New Hampshire,False
26,New Jersey,False
27,New Mexico,False
28,New York,False
29,North Carolina,False
30,North Dakota,False
31,Ohio,False
32,Oklahoma,False
33,Oregon,False
34,Pennsylvania,False
35,Rhode Island,False
36,South Carolina,False
37,South Dakota,False
38,Tennessee,False
39,Texas,False
40,Utah,False
41,Vermont,False
42,Virginia,False
43,Washington,False
44,West Virginia,False
45,Wisconsin,False
46,Wyoming,False
